,title,link,POI_ID,like,location,price,country,style,review,bookmark,discount,point,loc,latitude,longitude
10252,三興飯店 San Hing Restaurant Limited,www.openrice.com/zh/hongkong/r-%E4%B8%89%E8%88%88%E9%A3%AF%E5%BA%97-%E7%81%A3%E4%BB%94-%E6%B8%AF%E5%BC%8F-%E6%B5%B7%E9%AE%AE-r193138,193138,5.0,灣仔謝斐道392-402號维新大廈地下B-C舖,$101-200,川菜 (四川),海鮮,(6 食評),255,,"(22.2799007, 114.1800005, 0.0)","Wai Sun Building, 392-402 Jaffe Rd, Wan Chai, Hong Kong",22.2799007,114.1800005
10256,享福 Fooklore,www.openrice.com/zh/hongkong/r-%E4%BA%AB%E7%A6%8F-%E7%81%A3%E4%BB%94-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r582664,582664,1.0,灣仔軒尼詩道33號灣仔皇悅酒店LG2層,$401-800,粵菜 (廣東),川菜 (四川),(1 食評),283,,"(22.2780688, 114.1701775, 0.0)","Hong Kong, Wan Chai, Hennessy Rd, 33號皇悅酒店地庫2樓",22.2780688,114.1701775
10257,三興飯店 San Hing Restaurant Ltd.,www.openrice.com/zh/hongkong/r-%E4%B8%89%E8%88%88%E9%A3%AF%E5%BA%97-%E7%81%A3%E4%BB%94-%E6%B8%AF%E5%BC%8F-%E6%B5%B7%E9%AE%AE-r14137,14137,12.0,灣仔寶靈頓街市1樓CF7號舖,$101-200,川菜 (四川),海鮮,(24 食評),139,,"(22.2780928, 114.1804615, 0.0)","Bowrington Road Market (South Block), 21 Bowrington Rd, Bowrington, Hong Kong",22.2780928,114.1804615
10279,華興餐廳小廚 Wah Hing Restaurant,www.openrice.com/zh/hongkong/r-%E8%8F%AF%E8%88%88%E9%A4%90%E5%BB%B3%E5%B0%8F%E5%BB%9A-%E7%81%A3%E4%BB%94-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r150000,150000,,灣仔軒尼詩道340-342號地下後座,$51-100,川菜 (四川),火鍋,(5 食評),30,,"(22.2783178, 114.1789787, 0.0)","號地下後座, Kuo Wah Building, 340-342 Hennessy Rd, Wan Chai, Hong Kong",22.2783178,114.1789787
10281,樂餸 Foodeliver (非門市),www.openrice.com/zh/hongkong/r-%E6%A8%82%E9%A4%B8-%E7%81%A3%E4%BB%94-%E6%B8%AF%E5%BC%8F-r522898,522898,,,$50以下,粵菜 (廣東),川菜 (四川),(2 食評),18,,"(33.791638, -84.389488, 0.0)","1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488
10289,味閣 Delicious Corner,www.openrice.com/zh/hongkong/r-%E5%91%B3%E9%96%A3-%E7%81%A3%E4%BB%94-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%BB%9E%E5%BF%83-r530530,530530,,灣仔灣仔道197-199號天輝中心6樓,$201-400,粵菜 (廣東),川菜 (四川),(8 食評),219,,"(22.2776882, 114.1786252, 0.0)","Hong Kong, Wan Chai, Wan Chai Rd, Tiffan Tower, 197-199號",22.2776882,114.1786252
10302,四姐川菜 Sijie Sichuan Dishes (已搬遷),www.openrice.com/zh/hongkong/r-%E5%9B%9B%E5%A7%90%E5%B7%9D%E8%8F%9C-%E7%81%A3%E4%BB%94-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r14286,14286,43.0,灣仔駱克道285-291號高華大廈2樓289號舖,$101-200,川菜 (四川),水煮菜式,(69 食評),454,,"(22.27884, 114.177329, 0.0)","Hong Kong, 駱克道285～295A",22.27884,114.177329
10720,祥發巴蜀小炒 Cheung-Fat Sichuan-style Restaurant,www.openrice.com/zh/hongkong/r-%E7%A5%A5%E7%99%BC%E5%B7%B4%E8%9C%80%E5%B0%8F%E7%82%92-%E8%B7%91%E9%A6%AC%E5%9C%B0-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r572334,572334,3.0,跑馬地毓秀街2號黃泥涌市政大廈2樓熟食中心2號舖,$51-100,川菜 (四川),大牌檔,(5 食評),114,,"(22.2689848, 114.1857827, 0.0)","Hong Kong, 跑馬地毓秀街2號黃泥涌市政大廈熟食中心2樓3號舖",22.2689848,114.1857827
10730,銅爵居 Provincial,www.openrice.com/zh/hongkong/r-%E9%8A%85%E7%88%B5%E5%B1%85-%E8%B7%91%E9%A6%AC%E5%9C%B0-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r463974,463974,1.0,跑馬地馬場大看台7樓,$201-400,川菜 (四川),閩菜 (福建),(1 食評),59,,"(22.2725915, 114.180187, 0.0)","Hong Kong, 跑馬地黃泥涌道跑馬地馬場快活看台第二座8樓",22.2725915,114.180187
10735,駿景軒 Golden Valley (已搬遷),www.openrice.com/zh/hongkong/r-%E9%A7%BF%E6%99%AF%E8%BB%92-%E8%B7%91%E9%A6%AC%E5%9C%B0-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r1028,1028,24.0,跑馬地宏德街1A號英皇駿景酒店1樓,$201-400,粵菜 (廣東),川菜 (四川),(39 食評),1808,,"(22.268496, 114.183856, 0.0)","Hong Kong, 跑馬地宏德街1A號英皇駿景酒店3樓",22.268496,114.183856
